user,group,jobname,length
ramarty,ad-reu,runscript_casestudy.txt,492
ramarty,ad-reu,runscript_casestudy.txt,492
ramarty,ad-reu,runscript_casestudy.txt,492
ramarty,ad-reu,runscript_casestudy.txt,492
ramarty,ad-reu,runscript_casestudy.txt,504
ramarty,ad-reu,runscript_casestudy.txt,522
ramarty,ad-reu,runscript_casestudy.txt,528
ramarty,ad-reu,runscript_casestudy.txt,532
ramarty,ad-reu,runscript_casestudy.txt,536
ramarty,ad-reu,runscript_casestudy.txt,522
ramarty,ad-reu,runscript_casestudy.txt,530
ramarty,ad-reu,runscript_casestudy.txt,532
ramarty,ad-reu,runscript_casestudy.txt,532
ramarty,ad-reu,runscript_casestudy.txt,542
ramarty,ad-reu,runscript_casestudy.txt,542
ramarty,ad-reu,runscript_casestudy.txt,545
ramarty,ad-reu,runscript_casestudy.txt,552
ramarty,ad-reu,runscript_casestudy.txt,552
ramarty,ad-reu,runscript_casestudy.txt,555
ramarty,ad-reu,runscript_casestudy.txt,561
ramarty,ad-reu,runscript_casestudy.txt,566
ramarty,ad-reu,runscript_casestudy.txt,566
ramarty,ad-reu,runscript_casestudy.txt,568
ramarty,ad-reu,runscript_casestudy.txt,571
ramarty,ad-reu,runscript_casestudy.txt,578
ramarty,ad-reu,runscript_casestudy.txt,578
ramarty,ad-reu,runscript_casestudy.txt,564
ramarty,ad-reu,runscript_casestudy.txt,565
ramarty,ad-reu,runscript_casestudy.txt,568
ramarty,ad-reu,runscript_casestudy.txt,569
ramarty,ad-reu,runscript_casestudy.txt,570
ramarty,ad-reu,runscript_casestudy.txt,572
ramarty,ad-reu,runscript_casestudy.txt,574
ramarty,ad-reu,runscript_casestudy.txt,582
ramarty,ad-reu,runscript_casestudy.txt,587
ramarty,ad-reu,runscript_casestudy.txt,588
ramarty,ad-reu,runscript_casestudy.txt,591
ramarty,ad-reu,runscript_casestudy.txt,595
ramarty,ad-reu,runscript_casestudy.txt,600
ramarty,ad-reu,runscript_casestudy.txt,607
ramarty,ad-reu,runscript_casestudy.txt,600
ramarty,ad-reu,runscript_casestudy.txt,601
ramarty,ad-reu,runscript_casestudy.txt,606
ramarty,ad-reu,runscript_casestudy.txt,606
ramarty,ad-reu,runscript_casestudy.txt,608
ramarty,ad-reu,runscript_casestudy.txt,614
ramarty,ad-reu,runscript_casestudy.txt,632
ramarty,ad-reu,runscript_casestudy.txt,637
ramarty,ad-reu,runscript_casestudy.txt,639
ramarty,ad-reu,runscript_casestudy.txt,643
ramarty,ad-reu,runscript_casestudy.txt,651
ramarty,ad-reu,runscript_casestudy.txt,655
ramarty,ad-reu,runscript_casestudy.txt,655
ramarty,ad-reu,runscript_casestudy.txt,655
ramarty,ad-reu,runscript_casestudy.txt,662
ramarty,ad-reu,runscript_casestudy.txt,691
ramarty,ad-reu,runscript_casestudy.txt,693
ramarty,ad-reu,runscript_casestudy.txt,693
ramarty,ad-reu,runscript_casestudy.txt,693
ramarty,ad-reu,runscript_casestudy.txt,703
ramarty,ad-reu,runscript_casestudy.txt,714
ramarty,ad-reu,runscript_casestudy.txt,714
ramarty,ad-reu,runscript_casestudy.txt,714
ramarty,ad-reu,runscript_casestudy.txt,714
ramarty,ad-reu,runscript_casestudy.txt,714
ramarty,ad-reu,runscript_casestudy.txt,714
ramarty,ad-reu,runscript_casestudy.txt,714
ramarty,ad-reu,runscript_casestudy.txt,716
ramarty,ad-reu,runscript_casestudy.txt,720
ramarty,ad-reu,runscript_casestudy.txt,725
ramarty,ad-reu,runscript_casestudy.txt,728
ramarty,ad-reu,runscript_casestudy.txt,729
ramarty,ad-reu,runscript_casestudy.txt,729
ramarty,ad-reu,runscript_casestudy.txt,731
ramarty,ad-reu,runscript_casestudy.txt,731
ramarty,ad-reu,runscript_casestudy.txt,731
ramarty,ad-reu,runscript_casestudy.txt,731
ramarty,ad-reu,runscript_casestudy.txt,732
ramarty,ad-reu,runscript_casestudy.txt,732
ramarty,ad-reu,runscript_casestudy.txt,732
ramarty,ad-reu,runscript_casestudy.txt,732
ramarty,ad-reu,runscript_casestudy.txt,735
ramarty,ad-reu,runscript_casestudy.txt,736
ramarty,ad-reu,runscript_casestudy.txt,726
ramarty,ad-reu,runscript_casestudy.txt,731
ramarty,ad-reu,runscript_casestudy.txt,732
ramarty,ad-reu,runscript_casestudy.txt,740
ramarty,ad-reu,runscript_casestudy.txt,741
ramarty,ad-reu,runscript_casestudy.txt,746
ramarty,ad-reu,runscript_casestudy.txt,751
ramarty,ad-reu,runscript_casestudy.txt,755
ramarty,ad-reu,runscript_casestudy.txt,761
ramarty,ad-reu,runscript_casestudy.txt,762
ramarty,ad-reu,runscript_casestudy.txt,774
ramarty,ad-reu,runscript_casestudy.txt,779
ramarty,ad-reu,runscript_casestudy.txt,760
ramarty,ad-reu,runscript_casestudy.txt,761
ramarty,ad-reu,runscript_casestudy.txt,761
ramarty,ad-reu,runscript_casestudy.txt,767
ramarty,ad-reu,runscript_casestudy.txt,771
ramarty,ad-reu,runscript_casestudy.txt,773
ramarty,ad-reu,runscript_casestudy.txt,774
ramarty,ad-reu,runscript_casestudy.txt,782
ramarty,ad-reu,runscript_casestudy.txt,784
ramarty,ad-reu,runscript_casestudy.txt,786
ramarty,ad-reu,runscript_casestudy.txt,792
ramarty,ad-reu,runscript_casestudy.txt,800
ramarty,ad-reu,runscript_casestudy.txt,801
ramarty,ad-reu,runscript_casestudy.txt,802
ramarty,ad-reu,runscript_casestudy.txt,807
ramarty,ad-reu,runscript_casestudy.txt,830
ramarty,ad-reu,runscript_casestudy.txt,835
ramarty,ad-reu,runscript_casestudy.txt,837
ramarty,ad-reu,runscript_casestudy.txt,842
ramarty,ad-reu,runscript_casestudy.txt,844
ramarty,ad-reu,runscript_casestudy.txt,847
ramarty,ad-reu,runscript_casestudy.txt,848
ramarty,ad-reu,runscript_casestudy.txt,850
ramarty,ad-reu,runscript_casestudy.txt,850
ramarty,ad-reu,runscript_casestudy.txt,850
ramarty,ad-reu,runscript_casestudy.txt,850
ramarty,ad-reu,runscript_casestudy.txt,850
ramarty,ad-reu,runscript_casestudy.txt,850
ramarty,ad-reu,runscript_casestudy.txt,850
ramarty,ad-reu,runscript_casestudy.txt,850
ramarty,ad-reu,runscript_casestudy.txt,851
ramarty,ad-reu,runscript_casestudy.txt,855
ramarty,ad-reu,runscript_casestudy.txt,855
ramarty,ad-reu,runscript_casestudy.txt,856
ramarty,ad-reu,runscript_casestudy.txt,858
ramarty,ad-reu,runscript_casestudy.txt,858
ramarty,ad-reu,runscript_casestudy.txt,859
ramarty,ad-reu,runscript_casestudy.txt,859
ramarty,ad-reu,runscript_casestudy.txt,859
ramarty,ad-reu,runscript_casestudy.txt,859
ramarty,ad-reu,runscript_casestudy.txt,859
ramarty,ad-reu,runscript_casestudy.txt,861
ramarty,ad-reu,runscript_casestudy.txt,863
ramarty,ad-reu,runscript_casestudy.txt,878
ramarty,ad-reu,runscript_casestudy.txt,888
ramarty,ad-reu,runscript_casestudy.txt,888
ramarty,ad-reu,runscript_casestudy.txt,881
ramarty,ad-reu,runscript_casestudy.txt,902
ramarty,ad-reu,runscript_casestudy.txt,909
ramarty,ad-reu,runscript_casestudy.txt,909
ramarty,ad-reu,runscript_casestudy.txt,909
ramarty,ad-reu,runscript_casestudy.txt,911
ramarty,ad-reu,runscript_casestudy.txt,911
ramarty,ad-reu,runscript_casestudy.txt,928
ramarty,ad-reu,runscript_casestudy.txt,929
ramarty,ad-reu,runscript_casestudy.txt,931
ramarty,ad-reu,runscript_casestudy.txt,932
ramarty,ad-reu,runscript_casestudy.txt,934
ramarty,ad-reu,runscript_casestudy.txt,941
ramarty,ad-reu,runscript_casestudy.txt,942
ramarty,ad-reu,runscript_casestudy.txt,950
ramarty,ad-reu,runscript_casestudy.txt,956
ramarty,ad-reu,runscript_casestudy.txt,960
ramarty,ad-reu,runscript_casestudy.txt,962
ramarty,ad-reu,runscript_casestudy.txt,974
ramarty,ad-reu,runscript_casestudy.txt,992
ramarty,ad-reu,runscript_casestudy.txt,999
ramarty,ad-reu,runscript_casestudy.txt,1003
ramarty,ad-reu,runscript_casestudy.txt,1008
ramarty,ad-reu,runscript_casestudy.txt,1011
ramarty,ad-reu,runscript_casestudy.txt,1012
ramarty,ad-reu,runscript_casestudy.txt,1000
ramarty,ad-reu,runscript_casestudy.txt,1032
ramarty,ad-reu,runscript_casestudy.txt,1045
ramarty,ad-reu,runscript_casestudy.txt,1057
ramarty,ad-reu,runscript_casestudy.txt,1068
ramarty,ad-reu,runscript_casestudy.txt,1072
ramarty,ad-reu,runscript_casestudy.txt,1076
ramarty,ad-reu,runscript_casestudy.txt,1077
ramarty,ad-reu,runscript_casestudy.txt,1079
ramarty,ad-reu,runscript_casestudy.txt,1079
ramarty,ad-reu,runscript_casestudy.txt,1079
ramarty,ad-reu,runscript_casestudy.txt,1079
ramarty,ad-reu,runscript_casestudy.txt,1081
ramarty,ad-reu,runscript_casestudy.txt,1081
ramarty,ad-reu,runscript_casestudy.txt,1081
